Current Baph version: ,0.2.3,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Open Issues,,,,,,,,
,,,,,,,,
Found in ver.,Summary,Severity,Dev reproduced?,Bug?,Status?,More Details,Resolution,baphservations
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
version 0.2.3,,,,,,,,
0.2.0 - 0512722d0,Quitting quests does not remove the quest from the island map,Low,yes,yes,pending,"Quests usually have an assigned landmark that is JUST for that quest, so quitting a quest should remove it from the map. Instead, it is kept on the map and has no effect when visited.",,
--,Guild should complain in thetrader if you make too much money off of guild items,Low,--,no,Working,"Small detail. Reselling guild items has a potential of being pretty profitable. All guild items should have itemdata.fromGuild = true to be tagged. If the player makes over 10k from guild items, a guildmaster will come to them to complain and warn them. If they make another 10k, they have a 50% chance to get banned from teh guild",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Items for post-alpha,,,,,,,,
--,Missing end for wyvern quest,Low,--,no,pending,Need: last dungeon. Last boss (both forms). Arts special for boss. Special losing logic,I want this to come after EVERYTHING else is about settled so i can make it good,
--,Different accolades should unlock different color palettes for the graphics version,Low,--,no,pending,,,
--,Use appraisal system to add uniques,Low,--,no,pending,"Appraisal items will have a chance to be appraised into ""unique"" legendaries that have messed up predetermined effects",,
--,More dungeon locations,,,,,,,
--,More dungeon encounter types,,,,,,,
--,More island landmarks,,,,,,,
--,More island locations,,,,,,,
--,More arts,,,,,,,
--,more books!!!!,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
version 0.2.2c (R series),,,,,,,,
closed issues,,,,,,,,
--,Need a battle tutorial,Medium,--,no,Done,"The battle system is one of the only things in the game that is hard to penetrate just by exploring. It would be helpful to have a ""battle tutorial""","FINALLY done. Its a book that, when read, starts an auto-battle tutorial with a chance to try things while teaching the basics. It is accessible through the sentimental box",
,,,,,,,,
--,Mysterious crash of a battle art phantom,Low,no,yes,Done?,"Baph reported a crash after improving items (full report: "" error upon backing out of a item selection menu for item improvement after already improving a few items.""), but it looks like the crash is from a resolved Art usage in battle. My guess is that a previous in-battle crash occurred but was recovered from, and the art usage was waiting until a clear window queue.","Ive set up an explicit error for when this case comes up again. It hasnt happened for 2 version ups, so im marking this as fixed for now",
--,"On battle start, listing effects becomes tiring late-game",Medium,--,no,Done,When you have a lot of equips you kinda have to scroll through effects on each battle start,Now all initial effects are grouped together and displayed at once,
